MeterNo,the_geom,MeterType,LONG,LAT,Status
3063019,POINT (-73.96078458296606 40.58948451415132),Strada,-73.96078458,40.58948451,Active
3013527,POINT (-73.9933102932193 40.69253778117656),Strada,-73.99331029,40.69253778,Active
3013588,POINT (-73.98495220303556 40.69210304452624),Strada,-73.9849522,40.69210304,Active
3051327,POINT (-73.96240527280392 40.60785387531896),Strada,-73.96240527,40.60785388,Active
3063057,POINT (-73.95692275164477 40.59871551982925),Strada,-73.95692275,40.59871552,Active
3063064,POINT (-73.94894051220943 40.59958829864136),Strada,-73.94894051,40.5995883,Active
3063111,POINT (-73.95928321339034 40.598766975340396),Strada,-73.95928321,40.59876698,Active
3063100,POINT (-73.95972647255225 40.598530150935794),Strada,-73.95972647,40.59853015,Active
3063121,POINT (-73.95642222866532 40.5986457153304),Strada,-73.95642223,40.59864572,Active
3063080,POINT (-73.93780776774746 40.60093632911232),Strada,-73.93780777,40.60093633,Active
3063166,POINT (-73.94483512078877 40.60030865724475),Strada,-73.94483512,40.60030866,Active
3063144,POINT (-73.95037654375186 40.599796444981095),Strada,-73.95037654,40.59979645,Active
3063147,POINT (-73.94946779583238 40.59940753478945),Strada,-73.9494678,40.59940753,Active
3071355,POINT (-73.99037854415344 40.599538664945115),Strada,-73.99037854,40.59953866,Active
3071405,POINT (-74.00256270956562 40.599879044832115),Strada,-74.00256271,40.59987904,Active
3091467,POINT (-74.02666743444675 40.621063146300344),Strada,-74.02666743,40.62106315,Active
3091435,POINT (-74.02777762420185 40.62392235943337),Strada,-74.02777762,40.62392236,Active
3063028,POINT (-73.96586377517802 40.586474729324884),Strada,-73.96586378,40.58647473,Active
3103002,POINT (-73.98757928739519 40.62181175299946),Strada,-73.98757929,40.62181175,Active
3103027,POINT (-73.98932225185885 40.6204495425643),Strada,-73.98932225,40.62044954,Active
3103014,POINT (-73.99037917325279 40.6188274157477),Strada,-73.99037917,40.61882742,Active
3103057,POINT (-73.98521869547237 40.624179495103455),Strada,-73.9852187,40.6241795,Active
3103042,POINT (-73.991048039227 40.618626499702366),Strada,-73.99104804,40.6186265,Active
3071388,POINT (-73.99689249440128 40.59815047962446),Strada,-73.99689249,40.59815048,Active
3071402,POINT (-73.99901814262962 40.6102903612647),Strada,-73.99901814,40.61029036,Active
3063105,POINT (-73.9601555790536 40.59868880147599),Strada,-73.96015558,40.5986888,Active
3013023,POINT (-73.98193844497654 40.685898236051166),Strada,-73.98193845,40.68589824,Active
2313041,POINT (-73.83132933518411 40.84718654078356),Strada,-73.83132934,40.84718654,Active
3051332,POINT (-73.96385768090249 40.60717396556331),Strada,-73.96385768,40.60717397,Active
3043134,POINT (-73.94625296835089 40.63180101688034),Strada,-73.94625297,40.63180102,Active
3043114,POINT (-73.95899315136964 40.6530240553742),Strada,-73.95899315,40.65302406,Active
3033034,POINT (-73.90890525966964 40.66859997629899),Strada,-73.90890526,40.66859998,Active
3033029,POINT (-73.90927172950305 40.669844118025),Strada,-73.90927173,40.66984412,Active
2203006,POINT (-73.87592537097123 40.82921757271161),Strada,-73.87592537,40.82921757,Active
3071392,POINT (-74.0011878119848 40.601288044144496),Strada,-74.00118781,40.60128804,Active
3131534,POINT (-73.98406395208582 40.611049641132),Strada,-73.98406395,40.61104964,Active
3063073,POINT (-73.93924011999468 40.60065819631229),Strada,-73.93924012,40.6006582,Active
3103058,POINT (-73.98581870451059 40.62335324172192),Strada,-73.9858187,40.62335324,Active
3043167,POINT (-73.94076266669809 40.61765794305839),Strada,-73.94076267,40.61765794,Active
2293023,POINT (-73.83109413505181 40.889264893464784),Strada,-73.83109414,40.88926489,Active
3131529,POINT (-73.98352912941748 40.612258472279585),Strada,-73.98352913,40.61225847,Active
3163105,POINT (-73.94988791562427 40.65450143306804),Strada,-73.94988792,40.65450143,Active
4013063,POINT (-73.91793152204534 40.741984965739306),Strada,-73.91793152,40.74198497,Active
4033016,POINT (-73.8068540790584 40.70243882671063),Strada,-73.80685408,40.70243883,Active
4033003,POINT (-73.80943202806091 40.7019619386372),Strada,-73.80943203,40.70196194,Active
4013108,POINT (-73.91952075217033 40.74192203774465),Strada,-73.91952075,40.74192204,Active
4033042,POINT (-73.80662129028136 40.698756810465746),Strada,-73.80662129,40.69875681,Inactive
4013085,POINT (-73.9234791951784 40.743257503672005),Strada,-73.9234792,40.7432575,Active
4033039,POINT (-73.80530997525298 40.69685641772821),Strada,-73.80530998,40.69685642,Active
4233010,POINT (-73.92717619532682 40.755313726782354),Strada,-73.9271762,40.75531373,Active
4233078,POINT (-73.91880054025854 40.76592452075343),Strada,-73.91880054,40.76592452,Active
4233027,POINT (-73.92933620029494 40.75446886962072),Strada,-73.9293362,40.75446887,Active
4233033,POINT (-73.93078461723654 40.76479491223518),Strada,-73.93078462,40.76479491,Active
4233119,POINT (-73.92543363923762 40.76885365710043),Strada,-73.92543364,40.76885366,Active
4233156,POINT (-73.91808844263892 40.765593745024326),Strada,-73.91808844,40.76559375,Active
4233056,POINT (-73.92683824732704 40.76298813568301),Strada,-73.92683825,40.76298814,Active
